English,Gujarati
noticed,નોંધ્યું
Liza,લિઝા
fired,બરતરફ
Daphne,ડાફ
Whitney,વ્હીટની
excellent,ઉત્તમ
lived,રહેતા
bringing,લાવવું
pop,પૉપ
piper or Piper,પાઇપર અથવા પાઇપર
bottom,નીચે
note,નૉૅધ
sudden,અચાનક
church,ચર્ચ
bathroom,બાથરૂમમાં
flight,ફ્લાઇટ
Chad or chad,ચૅડ અથવા ચાડ
la or LA,લા અથવા લા
honestly,પ્રામાણિકપણે
sing,સિંગ
Katie,કેટી
foot,પગ
games,રમતો
glass,ગ્લાસ
N.,એન.
Mitch,મીચ
remind,યાદ અપાવવું
bank,બેંક
Rory,રોરી
charges,ખર્ચ
witness,સાક્ષી
finding,શોધ
places,સ્થાનો
tree,વૃક્ષ
dare,હિંમત
hardly,ભાગ્યે જ
that'll,તે કરશે
U.,યુ.એસ.
interest,રસ
steal,ચોરી કરવી
princess,રાજકુમારી
silly,મૂર્ખ
contact,સંપર્ક કરવો
teach,શીખવવું
shop,દુકાન
plus,વત્તા
colonel,કર્નલ
fresh,તાજી
trial,અજમાયશ
invited,આમંત્રિત કર્યા
roll,રોલ
radio,રેડિયો
art,કલા
reach,પહોંચવું
heh,હેહ
dirty,ગંદી
choose,પસંદ કરવું
emergency,કટોકટી
dropped,ડ્રોપ
butt,કુંદો
credit,જમા
obvious,સ્પષ્ટ
cry,રડવું
locked,લૉક કરેલું
Larry,લૅરી
loving,પ્રેમાળ
positive,હકારાત્મક
nuts,નટ્સ
agreed,સંમત
Prue,પ્રજનન
price or Price,ભાવ અથવા ભાવ
goodbye,આવજો
condition,શરત
guard,રક્ષક
fuckin',Fuckin '
grow,વધવું
cake,કેક
mood,મૂડ
dad's,પપ્પા
Bianca,બિયાનકા
total,કુલ
crap,ધબકારા
crying,રડવું
Paige,પેગી
K. or 'k,કે. અથવા 'કે
belong,અનુયાયી
lay,મૂકી
partner,ભાગીદાર
trick,યુક્તિ
pressure,દબાણ
ohh,ઓહ
arm,હાથ
dressed,પોશાક પહેર્યો
cup,કપ
lies,જૂઠાણું
bus,બસ
taste,સ્વાદ
neck,ગરદન
south,દક્ષિણમાં
something's,કંઈક
nurse,નર્સ
raise,વધારવું
land,જમીન
cross,ક્રોસ
lots,ઘણાં
mister,મિસ્ટર
carry,વહન કરવું
group,જૂથ
whoever,જે કોઈ
Eddie,એડી
drinking,પીવું
they'd,તેઓ
breaking,તોડી
file,ફાઈલ
lock,લૉક
computer,કમ્પ્યુટર
yo,યો
Rebecca,રેબેકા
wine,વાઇન
closed,બંધ
writing,લેખન
spot,સ્પોટ
paying,ચુકવણી
study,અભ્યાસ
assume,ધારવું
asleep,ઊંઘ
man's,માણસ
turning,ટર્નિંગ
legal,કાયદેસર
justice,ન્યાય
Viki,વિકી
Chandler,ચૅન્ડલર
bedroom,બેડરૂમ
shower,શાવર
Nikolas,નિકોલસ
camera,કેમેરા
fill,ભરો
reasons,કારણો
forty,ચાલીસ
bigger,મોટું
nope,નોપ
keys,કીઝ
Starr,તારો
breath,શ્વાસ
doctors,ડોકટરો
pants,પેન્ટ
freak,વિચિત્ર
level,સ્તર
French,ફ્રેન્ચ
movies,ચલચિત્રો
gee,જીવે
Monica,મોનિકા
action,ક્રિયા
area,વિસ્તાર
folks,પ્રાણીઓ
Steve,સ્ટીવ
cream,ક્રીમ
ugh,યુગ
continue,ચાલુ રાખવું
focus,ધ્યાન કેન્દ્રિત કરવું
wild,જંગલી
truly,ખરેખર
Jill or jill,જીલ અથવા જિલ
desk,ડેસ્ક
convince,સમજાવવું
client,ગ્રાહક
threw,ફેંકવું
Taylor,ટેલર
band,બેન્ડ
hurts,હર્ટ્સ
Charles,ચાર્લ્સ
spending,ખર્ચ
Neil,નીલ
field or Field,ક્ષેત્ર અથવા ક્ષેત્ર
allow,પરવાનગી આપવી
grand,ભવ્ય
answers,જવાબ
shirt,શર્ટ
chair,ખુરશી
Christ or christ,ખ્રિસ્ત અથવા ખ્રિસ્ત
allowed,અનુમતિ
rough,રફ
doin,ડોઈન
sees,જુએ છે
government,સરકાર
Harry,હેરી
ought,હોવું જોઈએ
empty,ખાલી
round,રાઉન્ડ
lights,લાઈટ્સ
insane,પાગલ
hall or Hall,હોલ અથવા હોલ
hat,ટોપી
bastard,બસ્ટર્ડ
wind,પવન
shows,બતાવે છે
aware,સાવધાન
dealing,વ્યવહાર
pack,પેક
meaning,અર્થ
flowers,ફૂલો
tight,તંગ
hurting,નુકસાન
ship,જહાજ
subject,વિષય
guest,મહેમાન
mom's,મમ્મીનું
chicken,ચિકન
pal,પવિત્ર
match,મેચ
Elaine,ઇલેન
arrested,ધરપકડ
sun,સૂર્ય
Rachel,રશેલ
Salem,સાલેમ
confused,ગૂંચવાયેલું
surgery,સર્જરી
expecting,અપેક્ષા રાખવી
deacon,ડીકોન
Colleen,કોલીન
unfortunately,કમનસીબે
goddamn,ગોદદામ
lab,લેબ
passed,પસાર
bottle,બોટલ
beyond,આગળ
whenever,જ્યારે પણ
pool,પૂલ
opinion,અભિપ્રાય
naked,નગ્ન
held,રાખેલું
common,સામાન્ય
starts,શરૂ થાય છે
jerk,ઝઘડો
secrets,રહસ્યો
falling,ઘટી
played,ભજવી
necessary,જરૂરી
barely,ભાગ્યેજ
dancing,નૃત્ય
health,આરોગ્ય
tests,પરીક્ષણો
copy,નકલ
Keri,કેરી
video,વિડિઓ
cousin,મામાનો દીકરો
planned,આયોજિત
Vanessa,વેનેસા
dry,સુકા
ahem,આહેમ
twelve,બાર
simply,ફક્ત
Tess,તસવીર
Scott,સ્કોટ
skin,ત્વચા
often,વારંવાર
English,અંગ્રેજી
fifteen,પંદર
spirit,આત્મા
speech,ભાષણ
names,નામો
issue,મુદ્દો
orders,આદેશ
nah,નાહ
final,અંતિમ
Michelle,મિશેલ
America,અમેરિકા
St.,સેંટ
results,પરિણામો
code,કોડ
Ned,નડ
Bonnie,બોની
W.,ડબ્લ્યુ.
believed,માનવું
complicated,જટિલ
umm,યુએમએમ
research,સંશોધન
nowhere,ક્યાય પણ નહિ
escape,છટકી
biggest,સૌથી મોટું
restaurant,રેસ્ટોરન્ટ
page or Page,પૃષ્ઠ અથવા પૃષ્ઠ
grateful,આભારી
usual,સામાન્ય રીતે
burn,બર્ન
Chicago,શિકાગો
Austin,ઓસ્ટિન
address,સરનામું
within,અંદર
someplace,કોઈક
screw,સ્ક્રૂ
everywhere,દરેક જગ્યાએ
train,ટ્રેન
film,ફિલ્મ
regret,ખેદ
goodness,ભલાઈ
mistakes,ભૂલો
heaven or Heaven,સ્વર્ગ અથવા સ્વર્ગ
details,વિગતો
responsibility,જવાબદારી
suspect,શંકા
corner,ખૂણો
hero,હિરો
dumb,મૂર્ખ
terrific,ભયાનક
Peter,પીટર
mission,મિશન
further,વધુ
Amy,એમી
gas,ગેસ
whoo,કોણ
hole,છિદ્ર
memories,યાદો
o'clock,વાગ્યે
Brian,બ્રાયન
truck,ટ્રક
following,નીચે
ended,સમાપ્ત
nobody's,કોઈ નથી
Margo,માર્ગે
teeth,દાંત
ruined,બરબાદ
Hank,હાંક
split,વિભાજિત કરવું
Reva,રેવા
bear,સહન કરવું
airport,એરપોર્ટ
bite,ડંખવું
smoke,ધુમાડો
Stenbeck,સ્ટેનબેક
older,જૂનું
liar,જૂઠાણું
horse,ઘોડો
Gwen,ગ્વેન
showing,દર્શાવે
van or Van,વેન અથવા વેન
project,પ્રોજેક્ટ
cards,શિષ્ટાચાર
desperate,નિરાશ
themselves,પોતાને
search,શોધ
pathetic,દયાળુ
damage,નુકસાન
spoke,બોલવું
quickly,તરત
scare,ડર
Marah,માર્હો
G.,જી.
beach,બીચ
Mia,મિયા
brown or Brown,બ્રાઉન અથવા બ્રાઉન
afford,પરવડી
vote,મત આપવો
settle,પતાવટ કરવી
gold,સોનું
re or 're,ફરી અથવા 'ફરીથી
mentioned,ઉલ્લેખ
ed or -ed,ઇડી અથવા-
due,કારણે
passion,પેશન
Y. or -y,વાય. અથવા -y
stayed,રહીશ
rule,નિયમ
Friday,શુક્રવાર
checking,તપાસવું
tie,જોડાણ
hired,ભરતી કરવી
upon,ઉપર
rush or Rush,રશ અથવા ધસારો
Tad,તડ
heads,હેડ
concern,અનુમાન
blew,બેસવું
natural,કુદરતી
Alcazar,Alcazar
Kramer,ક્રામર
champagne,શેમ્પેન
connection,જોડાણ
tickets,ટિકિટ
Kate,કેટે
finger,આંગળી
happiness,સુખ
form,ફોર્મ
saving,બચત
kissing,ચુંબન કરવું
Martin,માર્ટિન
hated,નફરત
personally,અંગત રીતે
suggest,સૂચન કરવું
prepared,તૈયાર
build,બાંધવું
leg,પગ
onto,પર
leaves,પાંદડા
downstairs,નીચેના
ticket,ટિકિટ
it'd,તે
taught,શીખવવામાં
loose,છૂટક
holy,પવિત્ર
staff,સ્ટાફ
sea,સમુદ્ર
Asa,એક તરીકે
planet,ગ્રહ
duty,ફરજ
convinced,ખાતરી
throwing,ફેંકવું
defense,સંરક્ષણ
Harvey,હાર્વે
kissed,ચુંબન કરવું
legs,પગ
Dave,દહેજ
according,અનુસાર
loud,મોટેથી
practice,પ્રેક્ટિસ
Andy,અંડર
Jess,ઝઘડો
Saturday,શનિવાર
Colin,કોલીન
bright or Bright,તેજસ્વી અથવા તેજસ્વી
Amanda,અમાન્ડા
Fraser,ફ્રેઝર
F.,એફ.
babies,શિશુઓ
army,આર્મી
where'd,ક્યાં
warning,ચેતવણી
miracle,ચમત્કાર
carrying,વહન
flying,ઉડતી
Caleb,કાલેબ
blind,અંધ
queen,રાણી
ugly,glyly
shopping,શોપિંગ
hates,નફરત
someone's,કોઈનું
Seth,સેઠ
monster,મોન્સ્ટર
sight,દૃષ્ટિ
vampire,વેમ્પાયર
Rosanna,રોઝના
bride,કન્યા
coat,કોટ
account,હિસાબ
states,રાજ્યો
clearly,સ્પષ્ટ
celebrate,ઉજવણી કરવી
Nicole,નિકોલ
brilliant,તેજસ્વી
wanting,ઇચ્છિત
Allison,એલિસન
add,ઉમેરો
moon,ચંદ્ર
Forrester,ફોરેસ્ટર
lips,હોઠ
custody,કસ્ટડીમાં
center,કેન્દ્ર
screwed,ખરાબ
buying,ખરીદી
size,કદ
toast,ટોસ્ટ
thoughts,વિચાર
Isabella,ઇસાબેલા
student,વિદ્યાર્થી
stories,વાર્તાઓ
however,તેમ છતાં
professional,વ્યવસાયિક
stars,તારા
reality,વાસ્તવિકતા
Jimmy or jimmy,જીમી અથવા જીમી
birth,જન્મ
Lexie,લેક્સી
attitude,વલણ
advantage,ફાયદો
grandfather,દાદા
Sami,સામ્રાજ્ય
sold,વેચી
opened,ખુલ્લું
Lily,લીલી
grandma,દાદી
beg,માગણી કરવી
Edward,એડવર્ડ
changes,પરિવર્તન
Diego,ડિએગો
Cole,કોલો
someday,કોઈક
grade,ગ્રેડ
cheese,ચીઝ
roof,છાપરું
Kenny,કેની
Bobby or bobby,બોબી અથવા બોબી
pizza,પિઝા
brothers,ભાઈઓ
X. or x,એક્સ અથવા એક્સ
signed,હસ્તાક્ષરિત
bird,પક્ષી
ahh,અહ
marrying,લગ્ન કરવું
powerful,શક્તિશાળી
grown,ઉગાડવું
grandmother,દાદી
fake,નકલી
opening,ખોલવું
Sally,ખારું
Stephanie,સ્ટેફની
expected,અપેક્ષિત
eventually,આખરે
must've,હોવું જોઈએ
ideas,વિચારો
exciting,ઉત્તેજક
covered,આવરી લેવું
Parker,પાર્કર
de,ડી
familiar,પરિચિત
bomb,બૉમ્બ
bout,બાઉટ
television,ટેલિવિઝન
harmony or Harmony,સંવાદિતા અથવા સંવાદિતા
color,રંગ
heavy,ભારે
schedule,અનુસૂચિ
records,રેકોર્ડ્સ
H.,એચ.
dollar,ડૉલર
capable,સક્ષમ
master,માસ્ટર
numbers,સંખ્યા
Toby,ટોબી
practically,વ્યવહારિક રીતે
including,સહિત
correct,સાચું
clue,ચાવી
forgotten,ભૂલી ગયેલું
immediately,તરત
appointment,નિમણૂક
social,સામાજિક
nature,પ્રકૃતિ
ú,આ
deserves,લાયક
west or West,પશ્ચિમ અથવા પશ્ચિમ
Blake,કાબૂમાં રાખવું
teacher,શિક્ષક
threat,ધમકી
Frankie,ફ્રેન્કી
bloody,લોહિયાળ
lonely,એકલા
Kelly,કેલી
ordered,આદેશ આપ્યો
shame,શરમ
Brittany,બ્રિટ્ટેની
local,સ્થાનિક
jacket,જાકીટ
hook,હૂક
destroyed,નાશ
scary,ડરામણી
loser,હારેલો
investigation,તપાસ
above,ઉપર
Jamal,જામલ
invite,આમંત્રિત
shooting,શૂટિંગ
merry,આનંદી
port,બંદર
precious,કિંમતી
lesson,પાઠ
Roy,રોય
criminal,ગુનેગાર
growing,વધતી જતી
caused,કારણ
victim,પીડિત
professor,પ્રોફેસર
followed,અનુસરવું
funeral,અંતિમવિધિ
nothing's,કશું જ નથી
dean,ડીન
considering,વિચારણા
burning,બર્નિંગ
couch,સો ફા
strength,શક્તિ
harder,કઠણ
loss,નુકસાન
view,જુઓ
Gia,જીઆ
beauty,સૌંદર્ય
sisters,બહેન
everybody's,દરેકને
several,ઘણાં
pushed,ધકેલવું
Nicholas,નિકોલસ
written,લેખિત
somebody's,કોઈકનું
shock,આઘાત
pushing,દબાણ કરવું
heat,ગરમી
chocolate,ચોકલેટ
greatest,મહાન
Holden,હોલ્ડન
miserable,દુ: ખી
Corinthos,કોરીનનોંટીસ
nightmare,નાઇટમેર
energy,ઊર્જા
brings,લાવે છે
Zander,ઝેન્ડર
character,પાત્ર
became,બન્યું
famous,પ્રખ્યાત
enemy,દુશ્મન
crash,ભંગાણ
chances,તકો
sending,મોકલીને
recognize,ઓળખવું
healthy,તંદુરસ્ત
boring,કંટાળાજનક
feed,ફીડ
engaged,સંલગ્ન
Sarah,સારાહ
percent,ટકા
headed,આગેવાની
Brandon,બ્રાન્ડોન
lines,રેખાઓ
treated,સારવાર
purpose,હેતુ
north or North,ઉત્તર અથવા ઉત્તર
knife,છરી
rights,હક
drag,ખેંચવું
San,સાન્તાન
fan,ચાહક
badly,ખરાબ રીતે
speed,ઝડપ
Santa,સાંતા
hire,ભાડે લેવું
curious,વિચિત્ર
paint,પેઇન્ટ
pardon,ક્ષમા
Jackson,જેકસન
built,બાંધેલું
behavior,વર્તન
closet,ક્લોસેટ
candy or Candy,કેન્ડી અથવા કેન્ડી
Helena,હેલેના
warn,ચેતવણી આપવી
gorgeous,ખૂબસૂરત
post,પોસ્ટ
